,Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Continent,id,Song URL
69,Me Porto Bonito,"Bad Bunny, Chencho Corleone",0.911,0.712,-11.028234771009338,0.082,0.09,0.425,Latin-America,6Sq7ltF9Qa7SNFBsV5Cogx,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
70,Snooze,SZA,0.559,0.551,-14.5731436193864,0.132,0.141,0.392,Anglo-America,4iZ4pt7kvcaH6Yo8UoZ4s2,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2
71,Abcdario,"Eden Muñoz, Junior H",0.703,0.429,-17.64951089373055,0.031,0.783,0.416,Latin-America,0qCPD6ilr9nXkI4KVZgcns,https://open.spotify.com/track/0qCPD6ilr9nXkI4KVZgcns
72,Enchanted,Taylor Swift,0.535,0.618,-9.040684748777238,0.027,0.072,0.228,Anglo-America,3sqrvkNC6IPTIXvvbx9Arw,https://open.spotify.com/track/3sqrvkNC6IPTIXvvbx9Arw
73,Bones,Imagine Dragons,0.772,0.75,-2.522237661182743,0.046,0.02,0.587,Anglo-America,54ipXppHLA8U4yqpOFTUhr,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr
74,Karma,Taylor Swift,0.642,0.62,-14.339706536238324,0.067,0.073,0.097,Anglo-America,7KokYm8cMIXCsGVmUvKtqf,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf
75,OMG,NewJeans,0.804,0.771,-9.297465540240104,0.043,0.357,0.739,Asia,65FftemJ1DbbZ45DUfHJXE,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE
76,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",0.881,0.592,-10.683081369497557,0.032,0.619,0.719,Anglo-America,5Odq8ohlgIbQKMZivbWkEo,https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo
77,FLOWER,JISOO,0.841,0.384,-15.32847932414407,0.035,0.024,0.597,Asia,69CrOS7vEHIrhC2ILyEi0s,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s
78,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",0.591,0.764,-11.66018230324589,0.048,0.038,0.478,Oceania,567e29TDzLwZwfDuEpGTwo,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
79,El Gordo Trae El Mando,Chino Pacas,0.736,0.8,-2.5250889284126217,0.053,0.179,0.961,Anglo-America,3kf0WdFOalKWBkCCLJo4mA,https://open.spotify.com/track/3kf0WdFOalKWBkCCLJo4mA
80,Chanel,"Becky G, Peso Pluma",0.852,0.675,-12.083703868385953,0.036,0.397,0.528,Anglo-America,5RcxRGvmYai7kpFSfxe5GY,https://open.spotify.com/track/5RcxRGvmYai7kpFSfxe5GY
81,Those Eyes,New West,0.593,0.352,-16.348932859048467,0.028,0.695,0.226,Anglo-America,50x1Ic8CaXkYNvjmxe3WXy,https://open.spotify.com/track/50x1Ic8CaXkYNvjmxe3WXy
82,Escapism.,"RAYE, 070 Shake",0.538,0.742,-11.445086705202307,0.114,0.138,0.25,Europe,5mHdCZtVyb4DcJw8799hZp,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp
83,AMARGURA,KAROL G,0.92,0.696,-8.11193863939529,0.074,0.183,0.545,Latin-America,505v13epFXodT9fVAJ6h8k,https://open.spotify.com/track/505v13epFXodT9fVAJ6h8k
84,Bye,Peso Pluma,0.782,0.812,-13.542685638061357,0.047,0.567,0.7,Latin-America,6n2P81rPk2RTzwnNNgFOdb,https://open.spotify.com/track/6n2P81rPk2RTzwnNNgFOdb
85,Fin de Semana,"Oscar Maydon, Junior H",0.699,0.541,-10.75811471765229,0.083,0.063,0.365,Latin-America,6TBzRwnX2oYd8aOrOuyK1p,https://open.spotify.com/track/6TBzRwnX2oYd8aOrOuyK1p
86,Bite Me,ENHYPEN,0.795,0.781,-10.264562027567806,0.141,0.285,0.687,Asia,7mpdNiaQvygj2rHoxkzMfa,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa
87,Set Fire to the Rain,Adele,0.603,0.67,-8.98899510893731,0.025,0.004,0.446,Europe,7j4OmvkjRz0PrjFADlHfQx,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
88,La Jumpa,"Arcángel, Bad Bunny",0.887,0.234,-2.5403290351267174,0.178,0.111,0.197,Latin-America,2mnXxnrX5vCGolNkaFvVeM,https://open.spotify.com/track/2mnXxnrX5vCGolNkaFvVeM
89,Chemical,Post Malone,0.498,0.897,-10.6980880391285,0.045,0.001,0.373,Anglo-America,5w40ZYhbBMAlHYNDaVJIUu,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu
90,Feliz Cumpleaños Ferxxo,Feid,0.865,0.573,-11.688528234771013,0.068,0.086,0.563,Latin-America,2CeKVsFFXG4QzA415QygGb,https://open.spotify.com/track/2CeKVsFFXG4QzA415QygGb
